Semester 1
Code,Title,Credit,Grade
COMP2101,Introduction to Computer Science,4,B+
STAT2101,Introduction to Statistics,4,C+
LANC2058,Communication in Science,3,B-
CumGPA,2.77
Total Credits, 11
Semester 2
Code,Title,Credit,Grade
COMP2202,Fundamentals of Object Oriented Programming,3,B+
MATH3340,Discrete Mathematics for Computer Science,3,C+
STAT2102,Introduction to Probability,1,B-
ARAB1001,Arabic,2,C
CumGPA,2.7
Total Credits, 20
Semester 3
Code,Title,Credit,Grade
COMP3203,Introduction to Data Structures & Algorithms,3,B+
COMP3700,Introduction to Web Computing,3,A
COMP3501,Computer Organization & Assembly Language,4,B-
UE1,University Elective 1,2,B+
CumGPA,2.92
Total Credits, 32
